Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
31972,0.6375,-0.94138,-1.47E-11,-4.31E-12,-1.71E-09
40038,0.635,-0.92644,-3.95E-11,4.49E-12,-1.84E-09
40044,0.635,-0.74713,-9.84E-11,5.62E-11,-5.47E-09
31988,0.6375,-0.82184,-2.31E-11,-3.75E-12,-3.37E-09
40042,0.635,-0.8069,-7.66E-11,1.17E-11,-3.75E-09
31992,0.6375,-0.79195,-2.59E-11,-1.12E-12,-4.02E-09
40043,0.635,-0.77701,-7.93E-11,1.80E-11,-4.33E-09
40049,0.635,-0.5977,-6.01E-10,-6.72E-10,-3.98E-08
32008,0.6375,-0.67241,-2.21E-11,1.49E-10,-9.72E-09
40047,0.635,-0.65747,-1.80E-10,3.64E-10,-1.21E-08
32012,0.6375,-0.64253,1.06E-11,3.67E-10,-1.40E-08
40048,0.635,-0.62759,-1.95E-11,3.64E-10,-1.75E-08
39790,0.64,-0.11954,1.67E-11,-2.94E-12,-1.23E-09
40065,0.635,-0.11954,3.74E-11,-3.54E-12,-1.22E-09
32085,0.6375,-0.13448,2.47E-11,6.25E-12,-1.39E-09
32089,0.6375,-0.1046,2.45E-11,9.10E-12,-1.11E-09
39791,0.64,-8.97E-02,5.19E-12,-1.42E-11,-8.91E-10
40054,0.635,-0.44828,2.40E-10,-7.40E-11,-9.51E-09
32028,0.6375,-0.52299,4.51E-12,-1.11E-10,-1.50E-08
40052,0.635,-0.50805,1.82E-10,-7.84E-11,-1.38E-08
32033,0.6375,-0.4931,5.93E-11,-1.49E-11,-1.29E-08
40053,0.635,-0.47816,2.21E-10,-5.16E-11,-1.17E-08
40056,0.635,-0.38851,1.49E-10,-7.35E-12,-6.57E-09
39783,0.64,-0.32874,4.20E-11,-3.60E-12,-4.82E-09
32055,0.6375,-0.34368,3.53E-11,2.03E-11,-5.15E-09
40058,0.635,-0.32874,1.01E-10,2.25E-11,-4.65E-09
39784,0.64,-0.29885,3.86E-11,-4.19E-12,-3.95E-09
40059,0.635,-0.29885,1.05E-10,2.99E-11,-4.05E-09
32072,0.6375,-0.22414,2.84E-11,6.25E-12,-2.51E-09
32067,0.6375,-0.25402,3.41E-11,8.47E-12,-3.02E-09
40066,0.635,-8.97E-02,2.93E-11,-1.50E-11,-9.62E-10
39986,0.635,-2.4805,-6.73E-13,3.56E-12,1.57E-10
39711,0.64,-2.4805,-3.04E-12,5.38E-13,1.59E-10
39996,0.635,-2.1816,-7.20E-13,1.20E-12,2.70E-10
40001,0.635,-2.0322,-1.06E-12,1.16E-12,3.05E-10
31815,0.6375,-2.0471,-2.01E-12,1.83E-12,3.00E-10
40006,0.635,-1.8828,-1.56E-12,1.16E-12,3.26E-10
31837,0.6375,-1.8977,-2.28E-12,1.77E-12,3.24E-10
40011,0.635,-1.7333,-2.30E-12,1.10E-12,3.26E-10
31867,0.6375,-1.6885,-2.95E-12,1.76E-12,3.21E-10
40016,0.635,-1.5839,-3.72E-12,1.06E-12,2.89E-10
31879,0.6375,-1.5989,-3.39E-12,1.48E-12,2.97E-10
40021,0.635,-1.4345,-6.09E-12,9.53E-13,1.86E-10
31909,0.6375,-1.3897,-5.44E-12,1.08E-12,1.41E-10
40026,0.635,-1.2851,-1.05E-11,8.56E-13,-3.63E-11
31921,0.6375,-1.3,-6.76E-12,8.76E-13,4.14E-12
40031,0.635,-1.1356,-1.83E-11,1.15E-12,-4.80E-10
31942,0.6375,-1.1506,-1.07E-11,5.12E-13,-3.99E-10
40036,0.635,-0.98621,-3.35E-11,1.73E-12,-1.36E-09
31964,0.6375,-1.0011,-1.80E-11,3.99E-13,-1.19E-09
40041,0.635,-0.83678,-6.60E-11,7.94E-12,-3.20E-09
31984,0.6375,-0.85172,-3.30E-11,5.34E-12,-2.84E-09
40046,0.635,-0.68736,-1.49E-10,1.74E-10,-8.92E-09
32003,0.6375,-0.7023,-6.44E-11,1.24E-10,-7.34E-09
39793,0.64,-2.99E-02,-1.17E-11,-1.85E-11,-4.00E-10
39673,0.64,0,2.97E-12,4.59E-24,-2.05E-10
40068,0.635,-2.99E-02,1.76E-11,8.46E-12,-3.61E-10
39949,0.635,0,3.72E-11,6.56E-11,-5.27E-11
40051,0.635,-0.53793,2.71E-11,-2.23E-10,-1.61E-08
32023,0.6375,-0.55287,-1.14E-10,-7.21E-10,-1.73E-08
32046,0.6375,-0.40345,9.81E-11,5.30E-12,-7.41E-09
39988,0.635,-2.4207,-5.57E-13,1.75E-12,1.84E-10
32080,0.6375,-0.16437,1.69E-11,6.18E-12,-1.73E-09
39789,0.64,-0.14943,1.28E-11,-4.96E-12,-1.59E-09
32094,0.6375,-7.47E-02,1.68E-11,-6.09E-12,-7.60E-10
40067,0.635,-5.98E-02,3.21E-11,-5.56E-12,-7.03E-10
39792,0.64,-5.98E-02,1.07E-11,2.16E-12,-6.30E-10
31749,0.6375,-2.4954,-1.40E-12,2.96E-12,1.50E-10
39708,0.64,-2.5701,-3.56E-12,2.57E-12,9.88E-11
39983,0.635,-2.5701,-5.80E-13,9.10E-12,6.50E-11
39707,0.64,-2.6,-3.78E-12,-3.47E-25,5.31E-11
39915,0.635,-2.6,4.52E-12,1.92E-11,1.75E-11
31765,0.6375,-2.4057,-1.43E-12,0,1.92E-10
418066,0.63625,-2.3684,-1.04E-12,1.63E-12,2.10E-10
418069,0.63625,-2.3833,-1.25E-12,2.17E-12,2.02E-10
421363,0.635,-2.3759,-4.93E-13,1.88E-12,2.06E-10
419993,0.6375,-2.3609,-1.18E-12,2.24E-12,2.13E-10
418067,0.63875,-2.3684,-1.94E-12,2.54E-12,2.08E-10
420084,0.64,-1.6586,-3.18E-12,3.50E-12,3.13E-10
420085,0.6375,-1.6736,-2.87E-12,1.97E-12,3.15E-10
192897,0.6375,-1.6586,-2.74E-12,1.89E-12,3.12E-10
418925,0.63875,-0.36609,5.26E-11,1.24E-12,-5.91E-09
418924,0.63625,-0.36609,8.62E-11,8.66E-12,-5.85E-09
420261,0.6375,-0.35862,9.67E-11,-8.56E-12,-5.61E-09
421388,0.635,-1.6586,-2.79E-12,5.36E-13,3.10E-10
420089,0.6375,-1.6437,-3.11E-12,2.07E-12,3.07E-10
420277,0.6375,-0.23908,4.61E-11,-7.99E-12,-2.76E-09
