Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
40067,0.635,-5.98E-02,1.50E-05,3.32E-05,-1.24E-03
39792,0.64,-5.98E-02,-3.29E-05,9.05E-05,-1.18E-03
31749,0.6375,-2.4954,-1.92E-05,8.63E-05,1.01E-03
39708,0.64,-2.5701,-5.60E-05,1.45E-04,9.99E-04
39983,0.635,-2.5701,-1.64E-05,2.80E-04,6.98E-04
39707,0.64,-2.6,-6.66E-05,-3.62E-18,6.76E-04
39915,0.635,-2.6,4.91E-05,3.47E-04,2.48E-04
31765,0.6375,-2.4057,-1.95E-05,0,7.73E-04
418066,0.63625,-2.3684,-1.16E-05,5.46E-05,6.48E-04
418069,0.63625,-2.3833,-1.59E-05,8.07E-05,7.00E-04
421363,0.635,-2.3759,-5.30E-06,7.28E-05,6.70E-04
419993,0.6375,-2.3609,-1.55E-05,7.90E-05,6.25E-04
418067,0.63875,-2.3684,-2.61E-05,8.70E-05,6.55E-04
420084,0.64,-1.6586,-2.88E-05,1.09E-04,-8.73E-04
420085,0.6375,-1.6736,-1.57E-05,6.06E-05,-8.46E-04
192897,0.6375,-1.6586,-1.52E-05,5.85E-05,-8.73E-04
418925,0.63875,-0.36609,-2.90E-05,6.73E-05,-1.63E-03
418924,0.63625,-0.36609,-1.57E-05,3.73E-05,-1.64E-03
420261,0.6375,-0.35862,-1.57E-05,6.56E-05,-1.63E-03
421388,0.635,-1.6586,-1.88E-06,1.49E-05,-8.72E-04
420089,0.6375,-1.6437,-1.50E-05,6.34E-05,-8.99E-04
420277,0.6375,-0.23908,-1.53E-05,7.08E-05,-1.60E-03
420248,0.64,-0.43333,-2.74E-05,9.08E-05,-1.64E-03
418894,0.63875,-0.4408,-1.61E-05,4.10E-05,-1.64E-03
418893,0.63875,-0.42586,-1.70E-05,4.98E-05,-1.64E-03
418892,0.63625,-0.42586,-4.33E-06,4.85E-06,-1.64E-03
420253,0.6375,-0.41839,-1.57E-05,5.46E-05,-1.63E-03
420228,0.64,-0.58276,-2.87E-05,9.08E-05,-1.63E-03
418836,0.63875,-0.59023,-1.66E-05,4.10E-05,-1.63E-03
418835,0.63875,-0.57529,-1.80E-05,4.98E-05,-1.63E-03
418834,0.63625,-0.57529,-3.95E-06,3.59E-06,-1.63E-03
420233,0.6375,-0.56782,-1.61E-05,5.34E-05,-1.62E-03
420208,0.64,-0.73218,-2.77E-05,9.19E-05,-1.60E-03
418670,0.63875,-0.73966,-1.66E-05,4.28E-05,-1.60E-03
418669,0.63875,-0.72471,-1.76E-05,4.91E-05,-1.60E-03
418668,0.63625,-0.72471,-5.48E-06,4.89E-06,-1.60E-03
420213,0.6375,-0.71724,-1.66E-05,5.40E-05,-1.60E-03
420188,0.64,-0.88161,-2.78E-05,9.01E-05,-1.55E-03
418644,0.63875,-0.88908,-1.67E-05,4.08E-05,-1.55E-03
418643,0.63875,-0.87414,-1.75E-05,4.93E-05,-1.55E-03
418642,0.63625,-0.87414,-5.49E-06,4.93E-06,-1.55E-03
420193,0.6375,-0.86667,-1.66E-05,5.43E-05,-1.55E-03
420168,0.64,-1.031,-2.80E-05,9.13E-05,-1.47E-03
418592,0.63875,-1.0385,-1.68E-05,4.14E-05,-1.47E-03
418591,0.63875,-1.0236,-1.77E-05,4.99E-05,-1.47E-03
418590,0.63625,-1.0236,-5.50E-06,4.97E-06,-1.47E-03
420173,0.6375,-1.0161,-1.67E-05,5.49E-05,-1.48E-03
420148,0.64,-1.1805,-2.79E-05,9.25E-05,-1.38E-03
418540,0.63875,-1.1879,-1.65E-05,4.19E-05,-1.37E-03
418539,0.63875,-1.173,-1.75E-05,5.05E-05,-1.38E-03
418538,0.63625,-1.173,-5.25E-06,5.00E-06,-1.38E-03
420153,0.6375,-1.1655,-1.66E-05,5.55E-05,-1.38E-03
420128,0.64,-1.3299,-2.91E-05,1.11E-04,-1.25E-03
418486,0.63875,-1.3374,-1.79E-05,5.91E-05,-1.25E-03
418485,0.63875,-1.3224,-1.72E-05,5.20E-05,-1.26E-03
418484,0.63625,-1.3224,-5.07E-06,5.70E-06,-1.26E-03
420133,0.6375,-1.3149,-1.63E-05,5.77E-05,-1.26E-03
420048,0.64,-1.9276,-2.71E-05,1.04E-04,-4.44E-04
418281,0.63875,-1.9351,-1.52E-05,4.72E-05,-4.35E-04
418280,0.63875,-1.9201,-1.62E-05,5.66E-05,-4.57E-04
418279,0.63625,-1.9201,-3.10E-06,5.51E-06,-4.56E-04
420053,0.6375,-1.9126,-1.51E-05,6.21E-05,-4.66E-04
420028,0.64,-2.077,-2.64E-05,1.09E-04,-1.32E-04
418230,0.63875,-2.0845,-1.41E-05,4.96E-05,-1.20E-04
418229,0.63875,-2.0695,-1.52E-05,5.90E-05,-1.49E-04
418228,0.63625,-2.0695,-1.75E-06,5.63E-06,-1.48E-04
420033,0.6375,-2.0621,-1.41E-05,6.46E-05,-1.60E-04
419977,0.6375,-2.5103,-1.10E-05,1.10E-04,1.04E-03
418041,0.63625,-2.5178,-3.70E-06,5.01E-05,1.04E-03
418042,0.63875,-2.5178,-2.71E-05,1.32E-04,1.04E-03
420285,0.6375,-0.17931,-1.46E-05,8.32E-05,-1.57E-03
420280,0.64,-0.19425,-2.61E-05,1.19E-04,-1.57E-03
152565,0.6375,-0.19425,-1.29E-05,7.09E-05,-1.58E-03
421437,0.635,-0.19425,2.03E-06,2.38E-05,-1.57E-03
420281,0.6375,-0.2092,-9.47E-06,5.98E-05,-1.57E-03
418926,0.63875,-0.38103,-2.85E-05,6.75E-05,-1.63E-03
420273,0.6375,-0.26897,-1.43E-05,7.62E-05,-1.62E-03
419984,0.6375,-2.4506,-2.71E-05,8.39E-05,8.85E-04
418056,0.63875,-2.4431,-3.42E-05,7.54E-05,8.63E-04
418057,0.63625,-2.4431,-1.87E-05,9.00E-05,8.59E-04
418441,0.63875,-1.4569,-2.47E-05,7.98E-05,-1.13E-03
420113,0.6375,-1.4644,-1.62E-05,6.08E-05,-1.11E-03
418442,0.63625,-1.4569,-1.30E-05,3.83E-05,-1.12E-03
418332,0.63875,-1.7557,-2.52E-05,8.10E-05,-7.29E-04
420073,0.6375,-1.7632,-1.63E-05,6.09E-05,-7.12E-04
418333,0.63625,-1.7557,-1.25E-05,3.99E-05,-7.27E-04
418091,0.63875,-2.204,-2.36E-05,9.49E-05,1.88E-04
420013,0.6375,-2.2115,-1.35E-05,7.28E-05,2.11E-04
418092,0.63625,-2.204,-1.01E-05,4.46E-05,1.92E-04
418043,0.63875,-2.5328,-2.11E-05,1.37E-04,1.04E-03
419973,0.6375,-2.5402,-1.30E-05,1.65E-04,1.03E-03
418044,0.63625,-2.5328,-1.18E-05,1.00E-04,1.03E-03
421350,0.635,-2.5253,4.37E-06,7.84E-05,1.03E-03
420093,0.6375,-1.6138,-1.73E-05,7.30E-05,-9.34E-04
419989,0.6375,-2.3908,-1.94E-05,1.14E-04,7.24E-04
418051,0.63875,-2.458,-3.31E-05,7.38E-05,9.05E-04
418050,0.63625,-2.458,-1.76E-05,8.84E-05,9.01E-04
418063,0.63875,-2.3385,-2.58E-05,8.33E-05,5.68E-04
418062,0.63625,-2.3385,-1.41E-05,4.70E-05,5.61E-04
419997,0.6375,-2.331,-1.35E-05,8.18E-05,5.37E-04
418076,0.63875,-2.3086,-2.64E-05,8.09E-05,4.79E-04
418075,0.63625,-2.3086,-1.46E-05,4.54E-05,4.71E-04
420001,0.6375,-2.3011,-1.43E-05,7.98E-05,4.50E-04
418080,0.63875,-2.2787,-2.72E-05,9.26E-05,3.98E-04
418079,0.63625,-2.2787,-1.34E-05,3.41E-05,4.00E-04
420005,0.6375,-2.2713,-1.37E-05,8.09E-05,3.84E-04
420009,0.6375,-2.2414,-1.38E-05,8.04E-05,2.71E-04
418094,0.63875,-2.219,-2.72E-05,8.34E-05,2.27E-04
418093,0.63625,-2.219,-1.37E-05,3.31E-05,2.30E-04
420029,0.6375,-2.092,-1.39E-05,6.26E-05,-1.08E-04
418104,0.63875,-2.1592,-2.71E-05,7.49E-05,6.97E-05
418103,0.63625,-2.1592,-1.59E-05,4.30E-05,6.46E-05
420021,0.6375,-2.1517,-1.55E-05,7.50E-05,4.64E-05
418108,0.63875,-2.1293,-2.80E-05,8.56E-05,1.32E-06
418107,0.63625,-2.1293,-1.47E-05,3.26E-05,3.73E-06
420025,0.6375,-2.1218,-1.51E-05,7.52E-05,-8.96E-06
420049,0.6375,-1.9425,-1.44E-05,5.97E-05,-4.27E-04
418253,0.63875,-2.0098,-2.76E-05,7.15E-05,-2.78E-04
418252,0.63625,-2.0098,-1.65E-05,4.07E-05,-2.83E-04
420041,0.6375,-2.0023,-1.60E-05,7.08E-05,-2.98E-04
418257,0.63875,-1.9799,-2.80E-05,8.23E-05,-3.35E-04
418256,0.63625,-1.9799,-1.53E-05,3.03E-05,-3.30E-04
420045,0.6375,-1.9724,-1.52E-05,7.16E-05,-3.41E-04
418308,0.63875,-1.8603,-2.83E-05,6.91E-05,-5.61E-04
418307,0.63625,-1.8603,-1.71E-05,3.94E-05,-5.65E-04
420061,0.6375,-1.8529,-1.65E-05,6.84E-05,-5.78E-04
418304,0.63875,-1.8305,-2.86E-05,7.98E-05,-6.07E-04
418303,0.63625,-1.8305,-1.60E-05,2.94E-05,-6.00E-04
420065,0.6375,-1.823,-1.57E-05,6.92E-05,-6.09E-04
420069,0.6375,-1.7931,-1.52E-05,7.01E-05,-6.87E-04
418335,0.63875,-1.7707,-2.90E-05,7.06E-05,-7.05E-04
418334,0.63625,-1.7707,-1.62E-05,2.95E-05,-7.03E-04
418362,0.63875,-1.7109,-2.90E-05,7.68E-05,-7.95E-04
418361,0.63625,-1.7109,-1.62E-05,2.92E-05,-7.91E-04
420081,0.6375,-1.7034,-1.65E-05,6.71E-05,-8.01E-04
418389,0.63875,-1.6213,-2.85E-05,7.41E-05,-9.26E-04
418388,0.63625,-1.6213,-1.73E-05,3.91E-05,-9.27E-04
418417,0.63875,-1.5615,-2.83E-05,6.57E-05,-1.00E-03
418416,0.63625,-1.5615,-1.72E-05,3.80E-05,-1.01E-03
420101,0.6375,-1.554,-1.66E-05,6.54E-05,-1.02E-03
418413,0.63875,-1.5316,-2.89E-05,7.53E-05,-1.04E-03
418412,0.63625,-1.5316,-1.63E-05,2.86E-05,-1.03E-03
420105,0.6375,-1.5241,-1.62E-05,6.56E-05,-1.03E-03
