Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
445057,0.72109,0,-2.4548,-7.51E-13,1.11E-14,-4.57E-14
445988,0.73175,0,-2.4532,-7.69E-13,1.50E-14,-4.56E-14
445989,0.72333,0,-2.4705,-7.54E-13,1.14E-14,-4.77E-14
445898,0.71235,0,-1.576,9.78E-13,-7.65E-15,-5.94E-13
443794,0.72532,0,-1.2614,1.54E-12,-2.85E-14,-1.44E-13
443789,0.73369,0,-1.2554,1.58E-12,-2.57E-14,-1.31E-13
444548,0.74496,0,-1.3401,1.59E-12,-6.18E-14,-1.97E-13
444818,0.71845,0,-0.11033,1.75E-12,-2.28E-14,1.64E-13
443664,0.72318,0,-9.56E-02,1.75E-12,-2.36E-14,2.01E-13
444573,0.74497,0,-1.0709,1.80E-12,-6.31E-14,-5.81E-14
443704,0.73215,0,-0.53875,1.76E-12,-4.96E-14,-1.08E-14
443708,0.72881,0,-0.52544,1.73E-12,-3.77E-14,-7.57E-15
444885,0.71033,0,-0.48561,1.65E-12,-1.60E-14,1.24E-15
446392,0.73155,0,-0.30001,1.71E-12,-3.67E-14,2.61E-14
444849,0.7204,0,-0.30138,1.68E-12,-2.41E-14,2.53E-14
444852,0.7104,0,-0.30637,1.64E-12,-1.30E-14,2.62E-14
446393,0.72333,0,-0.3171,1.69E-12,-2.85E-14,2.52E-14
444851,0.6988,0,-0.30051,1.63E-12,-5.90E-15,2.36E-14
446637,0.61649,0,5.83E-02,3.11E-13,-9.11E-15,1.35E-12
445584,0.66316,0,7.80E-02,6.45E-13,-2.34E-14,1.09E-12
446638,0.63113,0,5.65E-02,5.41E-13,-2.52E-15,1.42E-12
445060,0.71109,0,-2.4596,-7.30E-13,5.60E-15,-4.68E-14
446011,0.7298,0,-2.3653,-7.53E-13,1.76E-14,-5.34E-14
445241,0.72685,0,-2.5915,-8.76E-13,2.34E-14,-2.63E-14
445240,0.71281,0,-2.5878,-8.79E-13,1.99E-14,-7.40E-14
447053,0.56324,0,-2.6509,-3.48E-12,2.57E-14,2.41E-12
444326,0.5355,0,-2.5881,-5.81E-12,-4.35E-14,3.14E-12
444450,0.57383,0,-2.5491,-7.04E-12,-9.58E-14,1.89E-12
444435,0.55041,0,-2.6337,-4.10E-12,1.62E-15,2.61E-12
