Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
419993,0.6375,-2.3609,-1.47E-10,5.24E-12,-7.61E-09
418067,0.63875,-2.3684,-8.34E-11,-9.36E-12,-7.07E-09
420084,0.64,-1.6586,1.31E-11,-6.84E-12,3.54E-10
420085,0.6375,-1.6736,1.60E-11,-5.39E-12,3.05E-10
192897,0.6375,-1.6586,1.59E-11,-5.28E-12,3.60E-10
418925,0.63875,-0.36609,4.20E-12,-5.12E-12,5.18E-10
418924,0.63625,-0.36609,2.40E-12,-3.02E-12,5.18E-10
420261,0.6375,-0.35862,2.14E-12,-4.82E-12,5.13E-10
421388,0.635,-1.6586,1.83E-11,-3.85E-12,3.61E-10
420089,0.6375,-1.6437,1.54E-11,-5.30E-12,4.10E-10
420277,0.6375,-0.23908,2.20E-12,-4.80E-12,4.22E-10
420248,0.64,-0.43333,3.96E-12,-6.20E-12,5.64E-10
418894,0.63875,-0.4408,2.85E-12,-2.79E-12,5.69E-10
418893,0.63875,-0.42586,2.94E-12,-3.41E-12,5.59E-10
418892,0.63625,-0.42586,1.58E-12,-3.01E-13,5.59E-10
420253,0.6375,-0.41839,2.69E-12,-3.71E-12,5.54E-10
420228,0.64,-0.58276,4.46E-12,-6.40E-12,6.58E-10
418836,0.63875,-0.59023,3.04E-12,-2.82E-12,6.63E-10
418835,0.63875,-0.57529,3.40E-12,-3.58E-12,6.54E-10
418834,0.63625,-0.57529,1.43E-12,-1.80E-13,6.54E-10
420233,0.6375,-0.56782,2.85E-12,-3.76E-12,6.49E-10
420208,0.64,-0.73218,4.28E-12,-6.26E-12,7.45E-10
418670,0.63875,-0.73966,3.15E-12,-2.88E-12,7.50E-10
418669,0.63875,-0.72471,3.28E-12,-3.38E-12,7.41E-10
418668,0.63625,-0.72471,2.15E-12,-4.25E-13,7.42E-10
420213,0.6375,-0.71724,3.28E-12,-3.81E-12,7.38E-10
420188,0.64,-0.88161,4.58E-12,-6.11E-12,8.20E-10
418644,0.63875,-0.88908,3.46E-12,-2.77E-12,8.24E-10
418643,0.63875,-0.87414,3.53E-12,-3.33E-12,8.17E-10
418642,0.63625,-0.87414,2.54E-12,-4.83E-13,8.18E-10
420193,0.6375,-0.86667,3.66E-12,-3.81E-12,8.14E-10
420168,0.64,-1.031,5.01E-12,-6.16E-12,8.77E-10
418592,0.63875,-1.0385,3.92E-12,-2.80E-12,8.80E-10
418591,0.63875,-1.0236,3.97E-12,-3.36E-12,8.75E-10
418590,0.63625,-1.0236,3.15E-12,-5.58E-13,8.76E-10
420173,0.6375,-1.0161,4.25E-12,-3.92E-12,8.74E-10
420148,0.64,-1.1805,5.69E-12,-6.17E-12,9.05E-10
418540,0.63875,-1.1879,4.64E-12,-2.83E-12,9.06E-10
418539,0.63875,-1.173,4.68E-12,-3.34E-12,9.04E-10
418538,0.63625,-1.173,4.11E-12,-6.48E-13,9.06E-10
420153,0.6375,-1.1655,5.15E-12,-3.99E-12,9.05E-10
420128,0.64,-1.3299,6.74E-12,-7.09E-12,8.77E-10
418486,0.63875,-1.3374,5.88E-12,-3.76E-12,8.75E-10
418485,0.63875,-1.3224,5.93E-12,-3.33E-12,8.81E-10
418484,0.63625,-1.3224,5.85E-12,-8.48E-13,8.82E-10
420133,0.6375,-1.3149,6.72E-12,-4.17E-12,8.85E-10
420048,0.64,-1.9276,3.29E-11,-1.12E-11,-1.52E-09
418281,0.63875,-1.9351,3.64E-11,-6.30E-12,-1.61E-09
418280,0.63875,-1.9201,3.42E-11,-4.93E-12,-1.43E-09
418279,0.63625,-1.9201,4.46E-11,-3.80E-12,-1.43E-09
420053,0.6375,-1.9126,4.10E-11,-8.73E-12,-1.35E-09
420028,0.64,-2.077,6.58E-11,-7.83E-11,-4.59E-09
418230,0.63875,-2.0845,7.22E-11,-5.97E-11,-4.81E-09
418229,0.63875,-2.0695,6.70E-11,-1.86E-11,-4.32E-09
418228,0.63625,-2.0695,9.03E-11,-9.31E-12,-4.33E-09
420033,0.6375,-2.0621,8.39E-11,-2.79E-11,-4.11E-09
419977,0.6375,-2.5103,-5.43E-11,1.06E-11,-2.26E-09
418041,0.63625,-2.5178,-5.14E-11,7.57E-13,-2.10E-09
418042,0.63875,-2.5178,-2.83E-11,2.59E-12,-2.12E-09
420285,0.6375,-0.17931,2.27E-12,-5.60E-12,3.72E-10
420280,0.64,-0.19425,3.49E-12,-7.87E-12,3.83E-10
152565,0.6375,-0.19425,1.97E-12,-4.66E-12,3.85E-10
421437,0.635,-0.19425,5.94E-14,-1.03E-12,3.84E-10
420281,0.6375,-0.2092,1.29E-12,-3.30E-12,3.96E-10
418926,0.63875,-0.38103,4.14E-12,-5.08E-12,5.28E-10
420273,0.6375,-0.26897,2.12E-12,-5.02E-12,4.48E-10
419984,0.6375,-2.4506,-5.20E-11,9.58E-12,-3.68E-09
418056,0.63875,-2.4431,-3.61E-11,1.53E-12,-3.93E-09
418057,0.63625,-2.4431,-7.15E-11,6.05E-12,-3.96E-09
418441,0.63875,-1.4569,7.84E-12,-4.89E-12,7.81E-10
420113,0.6375,-1.4644,9.22E-12,-4.33E-12,7.70E-10
418442,0.63625,-1.4569,8.87E-12,-3.05E-12,7.81E-10
418332,0.63875,-1.7557,1.78E-11,-2.78E-12,-7.12E-11
420073,0.6375,-1.7632,2.33E-11,-4.75E-12,-1.12E-10
418333,0.63625,-1.7557,2.35E-11,-2.51E-12,-6.87E-11
418091,0.63875,-2.204,-3.39E-11,3.61E-09,-2.99E-08
420013,0.6375,-2.2115,7.15E-11,3.90E-09,-2.44E-08
418092,0.63625,-2.204,2.24E-10,6.15E-10,-3.02E-08
418043,0.63875,-2.5328,-3.58E-11,1.41E-11,-1.82E-09
419973,0.6375,-2.5402,-4.99E-11,3.25E-11,-1.62E-09
418044,0.63625,-2.5328,-3.95E-11,1.11E-11,-1.76E-09
421350,0.635,-2.5253,-6.55E-11,1.91E-11,-1.90E-09
420093,0.6375,-1.6138,1.46E-11,-4.91E-12,4.90E-10
419989,0.6375,-2.3908,-1.16E-10,2.62E-11,-5.92E-09
418051,0.63875,-2.458,-3.35E-11,-3.12E-12,-3.48E-09
418050,0.63625,-2.458,-6.88E-11,1.39E-12,-3.52E-09
418063,0.63875,-2.3385,-9.30E-11,1.10E-11,-8.69E-09
418062,0.63625,-2.3385,-1.49E-10,-1.23E-11,-8.76E-09
419997,0.6375,-2.331,-1.76E-10,4.07E-11,-9.19E-09
418076,0.63875,-2.3086,-9.11E-11,5.99E-11,-1.06E-08
418075,0.63625,-2.3086,-1.35E-10,2.10E-11,-1.07E-08
420001,0.6375,-2.3011,-1.59E-10,1.01E-10,-1.12E-08
418080,0.63875,-2.2787,-5.06E-11,2.21E-10,-1.26E-08
418079,0.63625,-2.2787,-5.85E-11,4.85E-11,-1.26E-08
420005,0.6375,-2.2713,-7.22E-11,2.36E-10,-1.30E-08
420009,0.6375,-2.2414,1.07E-10,1.07E-09,-1.59E-08
418094,0.63875,-2.219,2.53E-11,3.94E-09,-2.10E-08
418093,0.63625,-2.219,2.83E-10,9.46E-10,-2.13E-08
420029,0.6375,-2.092,1.08E-10,-9.30E-11,-5.03E-09
418104,0.63875,-2.1592,3.50E-10,2.79E-09,-1.51E-08
418103,0.63625,-2.1592,4.98E-10,9.38E-10,-2.04E-08
420021,0.6375,-2.1517,2.94E-10,-1.18E-09,-2.51E-08
418108,0.63875,-2.1293,-2.68E-10,-2.63E-09,-1.13E-08
418107,0.63625,-2.1293,-2.72E-10,-2.27E-09,-1.25E-08
420025,0.6375,-2.1218,6.47E-11,-1.42E-09,-8.91E-09
420049,0.6375,-1.9425,5.00E-11,-1.36E-11,-1.69E-09
418253,0.63875,-2.0098,3.95E-11,-5.51E-13,-2.84E-09
418252,0.63625,-2.0098,5.78E-11,5.07E-12,-2.81E-09
420041,0.6375,-2.0023,6.48E-11,-6.94E-12,-2.67E-09
418257,0.63875,-1.9799,3.64E-11,-9.19E-13,-2.30E-09
418256,0.63625,-1.9799,4.98E-11,2.37E-12,-2.28E-09
420045,0.6375,-1.9724,5.75E-11,-9.14E-12,-2.17E-09
418308,0.63875,-1.8603,2.17E-11,-9.81E-13,-8.03E-10
418307,0.63625,-1.8603,2.98E-11,1.95E-12,-7.91E-10
420061,0.6375,-1.8529,3.30E-11,-4.00E-12,-7.25E-10
418304,0.63875,-1.8305,2.03E-11,-1.92E-12,-5.58E-10
418303,0.63625,-1.8305,2.62E-11,6.49E-13,-5.52E-10
420065,0.6375,-1.823,2.97E-11,-5.51E-12,-5.02E-10
420069,0.6375,-1.7931,2.73E-11,-7.34E-12,-2.72E-10
418335,0.63875,-1.7707,1.58E-11,-1.36E-12,-1.54E-10
418334,0.63625,-1.7707,2.15E-11,-1.09E-12,-1.52E-10
418362,0.63875,-1.7109,1.37E-11,-2.95E-12,1.51E-10
418361,0.63625,-1.7109,1.75E-11,-1.20E-12,1.53E-10
420081,0.6375,-1.7034,1.91E-11,-5.43E-12,1.83E-10
418389,0.63875,-1.6213,1.11E-11,-3.41E-12,4.71E-10
418388,0.63625,-1.6213,1.34E-11,-1.58E-12,4.69E-10
418417,0.63875,-1.5615,9.49E-12,-3.41E-12,6.16E-10
418416,0.63625,-1.5615,1.05E-11,-1.46E-12,6.20E-10
420101,0.6375,-1.554,1.13E-11,-4.16E-12,6.35E-10
418413,0.63875,-1.5316,8.70E-12,-4.04E-12,6.72E-10
418412,0.63625,-1.5316,9.65E-12,-1.24E-12,6.70E-10
420105,0.6375,-1.5241,1.00E-11,-4.33E-12,6.81E-10
420109,0.6375,-1.4943,9.47E-12,-5.19E-12,7.40E-10
418444,0.63875,-1.4718,7.88E-12,-3.84E-12,7.62E-10
418443,0.63625,-1.4718,8.90E-12,-2.00E-12,7.62E-10
418458,0.63875,-1.4121,7.29E-12,-4.35E-12,8.25E-10
